run_id,firm_id,incarnation,fyearq,fqtr,saleq,cogsq,gpq,xrdq,xsgaq,dpq,oiadpq,xintq,piq,txtq,niq,cheq,rectq,invtq,ppentq,atq,apq,acoq,txpq,dlcq,lctq,dlttq,ltq,cstkq,apicq,ceqq,req,tstkq,oancfq,ivncfq,fincfq,chechq,capxq,sstkq,prstkq,dvq,prccq,cshoq,mkvaltq,default_flag,empq
run_1775877895,firm_2,1,2031,1,25000000,3387514.6591845597,21612485.34081544,10000000,20000000,625000.0,-9012514.65918456,0.0,-9012514.65918456,0.0,-9012514.65918456,316370612.5396931,3750000.0,0.0,24375000.0,344495612.5396931,508127.19887768396,3000000.0,0.0,0.0,3508127.198877684,0.0,3508127.198877684,10000.0,349990000.0,340987485.3408154,-9012514.65918456,0.0,-8629387.460306875,-0.0,0.0,-8629387.460306875,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_0,1,2031,2,20900000,3141347.791321469,17758652.208678532,10000000,5000000,625000.0,2133652.2086785324,0.0,2133652.2086785324,89613.39276449832,2044038.8159140341,316596775.37024033,3135000.0,571154.1438766307,23750000.0,344052929.51411694,471202.16869822034,1500000.0,89613.39276449832,0.0,2060815.5614627185,0.0,2060815.5614627185,10000.0,349990000.0,341992113.95265424,-8007886.047345751,0.0,1252450.0399803116,-0.0,0.0,1252450.0399803116,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_1,1,2031,2,22500000,3262505.3776113335,19237494.62238867,10000000,5000000,625000.0,3612494.6223886684,0.0,3612494.6223886684,151724.77414032407,3460769.8482483444,303111365.9118368,3375000.0,0.0,23750000.0,330236365.9118368,489375.8066417,1500000.0,151724.77414032407,0.0,2141100.580782024,0.0,2141100.580782024,10000.0,349990000.0,328095265.3310548,-21904734.668945175,0.0,1140794.75145134,-0.0,0.0,1140794.75145134,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_2,1,2031,2,20900000,2981012.9000824126,17918987.099917587,10000000,15000000,625000.0,-7706012.900082413,0.0,-7706012.900082413,0.0,-7706012.900082413,308937122.61664325,3135000.0,406501.75910214713,23750000.0,336228624.3757454,447151.9350123619,2500000.0,0.0,0.0,2947151.935012362,0.0,2947151.935012362,10000.0,349990000.0,333281472.440733,-16718527.559266973,0.0,-7433489.923049882,-0.0,0.0,-7433489.923049882,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_0,1,2031,3,22080000,3426924.8632597844,18653075.136740215,10000000,20000000,625000.0,-11971924.863259785,0.0,-11971924.863259785,0.0,-11971924.863259785,306383285.1390376,3312000.0,713942.6798457884,23125000.0,333534227.8188834,514038.7294889676,3000000.0,0.0,0.0,3514038.7294889675,0.0,3514038.7294889675,10000.0,349990000.0,330020189.08939445,-19979810.910605535,0.0,-10213490.231202692,-0.0,0.0,-10213490.231202692,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_1,1,2031,3,22500000,3262505.3776113335,19237494.62238867,10000000,5000000,625000.0,3612494.6223886684,0.0,3612494.6223886684,151724.77414032407,3460769.8482483444,307197135.76008517,3375000.0,0.0,23125000.0,333697135.76008517,489375.8066417,1500000.0,151724.77414032407,0.0,2141100.580782024,0.0,2141100.580782024,10000.0,349990000.0,331556035.17930317,-18443964.82069683,0.0,4085769.8482483444,-0.0,0.0,4085769.8482483444,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_2,1,2031,3,23460000,3455264.9523682506,20004735.047631748,10000000,20000000,625000.0,-10620264.952368252,0.0,-10620264.952368252,0.0,-10620264.952368252,299196745.7653016,3519000.0,338751.465918456,23125000.0,326179497.23122007,518289.74285523756,3000000.0,0.0,0.0,3518289.742855238,0.0,3518289.742855238,10000.0,349990000.0,322661207.48836476,-27338792.511635225,0.0,-9740376.851341685,-0.0,0.0,-9740376.851341685,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_0,1,2031,4,20700000,3284136.3272906267,17415863.672709372,10000000,20000000,625000.0,-13209136.327290628,0.0,-13209136.327290628,0.0,-13209136.327290628,293699153.4594133,3105000.0,999519.7517841037,22500000.0,320303673.2111974,492620.449093594,3000000.0,0.0,0.0,3492620.449093594,0.0,3492620.449093594,10000.0,349990000.0,316811052.76210386,-33188947.237896163,0.0,-12684131.679624317,-0.0,0.0,-12684131.679624317,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_1,1,2031,4,18900000,2740504.5171935204,16159495.48280648,10000000,15000000,625000.0,-9465504.51719352,0.0,-9465504.51719352,0.0,-9465504.51719352,299144605.4792708,2835000.0,522000.8604178134,22500000.0,325001606.33968866,411075.67757902807,2500000.0,0.0,0.0,2911075.677579028,0.0,2911075.677579028,10000.0,349990000.0,322090530.6621097,-27909469.33789035,0.0,-8052530.280814329,-0.0,0.0,-8052530.280814329,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_2,1,2031,4,24750000,3726266.1251030155,21023733.874896985,10000000,15000000,625000.0,-4601266.125103015,0.0,-4601266.125103015,0.0,-4601266.125103015,294906381.28202724,3712500.0,0.0,22500000.0,321118881.28202724,558939.9187654523,2500000.0,0.0,0.0,3058939.918765452,0.0,3058939.918765452,10000.0,349990000.0,318059941.36326176,-31940058.63673824,0.0,-4290364.483274344,-0.0,0.0,-4290364.483274344,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_0,1,2032,1,20700000,3284136.3272906262,17415863.672709376,10000000,20000000,625000.0,-13209136.327290624,0.0,-13209136.327290624,0.0,-13209136.327290624,280829440.06018436,3105000.0,1285096.823722419,21875000.0,307094536.8839068,492620.4490935939,3000000.0,0.0,0.0,3492620.4490935938,0.0,3492620.4490935938,10000.0,349990000.0,303601916.4348132,-46398083.56518678,0.0,-12869713.39922894,-0.0,0.0,-12869713.39922894,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_1,1,2032,1,17850000,2740504.5171935204,15109495.48280648,10000000,20000000,625000.0,-15515504.51719352,0.0,-15515504.51719352,0.0,-15515504.51719352,284389600.1016595,2677500.0,1044001.7208356268,21875000.0,309986101.8224951,411075.67757902807,3000000.0,0.0,0.0,3411075.677579028,0.0,3411075.677579028,10000.0,349990000.0,306575026.1449161,-43424973.85508387,0.0,-14755005.377611334,-0.0,0.0,-14755005.377611334,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_2,1,2032,1,22500000,3387514.6591845597,19112485.34081544,10000000,25000000,625000.0,-16512514.65918456,0.0,-16512514.65918456,0.0,-16512514.65918456,280305553.90295494,3375000.0,0.0,21875000.0,305555553.90295494,508127.19887768396,3500000.0,0.0,0.0,4008127.198877684,0.0,4008127.198877684,10000.0,349990000.0,301547426.7040772,-48452573.2959228,0.0,-14600827.379072329,-0.0,0.0,-14600827.379072329,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775879294,firm_0,1,2031,1,17480000,2902890.936252976,14577109.063747024,15000000,8000000,625000.0,-9047890.936252976,0.0,-9047890.936252976,0.0,-9047890.936252976,311690542.70418495,2622000.0,0.0,29375000.0,343687542.70418495,435433.64043794636,2300000.0,0.0,0.0,2735433.640437946,0.0,2735433.640437946,10000.0,349990000.0,340952109.06374705,-9047890.936252976,0.0,-8309457.29581503,-5000000,0.0,-13309457.29581503,5000000,0.0,0.0,0.0,35.0,10.0,350000000.0,0,0
run_1775879294,firm_1,1,2031,1,18800000,2740504.5171935204,16059495.48280648,17000000,9000000,625000.0,-10565504.51719352,0.0,-10565504.51719352,0.0,-10565504.51719352,310250571.1603855,2820000.0,0.0,29375000.0,342445571.1603855,411075.67757902807,2600000.0,0.0,0.0,3011075.677579028,0.0,3011075.677579028,10000.0,349990000.0,339434495.4828065,-10565504.51719352,0.0,-9749428.839614492,-5000000,0.0,-14749428.839614492,5000000,0.0,0.0,0.0,35.0,10.0,350000000.0,0,0
run_1775879294,firm_2,1,2031,1,20160000,2930877.6831264812,17229122.31687352,19000000,10000000,625000.0,-12395877.68312648,0.0,-12395877.68312648,0.0,-12395877.68312648,308544753.96934247,3024000.0,0.0,29375000.0,340943753.96934247,439631.6524689722,2900000.0,0.0,0.0,3339631.6524689724,0.0,3339631.6524689724,10000.0,349990000.0,337604122.31687355,-12395877.68312648,0.0,-11455246.030657507,-5000000,0.0,-16455246.030657507,5000000,0.0,0.0,0.0,35.0,10.0,350000000.0,0,0
